"189","-8.22",1
"199","-13.22",2
"139","-1.33",3
"220","-4.89",2
"135","-1.44",4
"88","-7",3
"32","-33.33",5
"182","-18.33",1
"245","-6.89",2
"171","-14.78",1
"117","-0.33",6
"139","3.67",6
"79","-8.56",3
"125","-3.44",3
"53","-33.33",5
"38","-24",7
"84","-0.89",6
"129","-13.44",7
"144","-3",3
"140","4.67",6
"237","-7",2
"27","-14.89",5
"198","-20",1
"104","-20.56",7
"111","-12.44",7
"85","-13.11",4
"145","4.89",6
"191","-23.44",1
"38","-19.22",7
"133","-1.11",4
"145","0",4
"208","-10.22",2
"187","-13.22",1
"93","-4.33",4
"130","4.44",6
"64","-19",3
"193","-23.78",1
"150","-13.56",7
"120","5.44",6
"66","-9.22",6
"238","-10.78",2
"159","-15.89",1
"14","-41.11",5
"48","-21.89",5
"175","-21.22",1
"176","-19.78",1
"218","-9.11",2
"21","-33",5
"51","-9.22",6
"32","-19.56",5
"135","-3.67",4
"183","-8.89",1
"47","-20.22",5
"128","-2.22",3
"114","3.33",6
"60","-1.33",6
"145","0",4
"97","-5.44",7
"90","-11.89",4
"187","-6.89",2
"83","-11.67",4
"226","-12",2
"120","-5.11",3
"108","-24.11",3
"219","-7.44",2
"157","-15.22",2
"92","-13.11",4
"179","-12.89",1
"107","-5.67",3
"187","-16.33",1
"56","-4.89",6
"133","-2.89",3
"95","-2.56",4
"141","4.78",6
"113","4.89",6
"169","-11",2
"51","-36.89",5
"29","-27.67",5
"151","-11.33",2
"107","-13",4
"122","4.33",6
"103","-20",7
"188","-20.33",1
"131","-1.56",3
"105","-7.56",4
"20","-31.67",5
"188","-9.22",1
"73","-5.11",7
"118","-2.78",3
"22","-20.67",7
"154","-1.44",4
"200","-20.89",1
"139","-2",3
"142","-1.33",3
"18","-19.33",5
"194","-12.11",1
"81","-1.11",6
"116","-1.44",6
"120","-12",4
"194","-15.89",1
"72","-8.78",6
"73","-13.56",7
"33","-39.33",5
"44","-42",5
"217","-3.89",2
"106","-5.56",3
"49","-32.78",5
"129","-1.56",3
"188","-7.22",2
"139","-6.89",4
"61","-41.89",5
"44","-31.11",5
"186","-17.56",1
"149","-10.11",7
"62","0",4
"45","-36.89",5
"193","-20.11",1
"85","-3",6
"124","4.44",6
"98","-9.56",3
